lr,hidden_dim,strict_mode,test_loss,test_tot_acc,test_change_acc
0.01,32,FALSE,0.46466660127043724,0.801020408,0.15625
0.01,32,TRUE,0.44557033479213715,0.826530612,0.375
0.01,64,FALSE,0.45757927373051643,0.798469388,0.1875
0.01,64,TRUE,0.4474039301276207,0.821428571,0.28125
0.01,128,FALSE,0.4676736667752266,0.778061224,0.09375
0.01,128,TRUE,0.4496452994644642,0.831632653,0.40625
0.001,32,FALSE,0.43072202801704407,0.831632653,0.3125
0.001,32,TRUE,0.4316931776702404,0.788265306,0.1875
0.001,64,FALSE,0.4323483519256115,0.829081633,0.28125
0.001,64,TRUE,0.4326421469449997,0.767857143,0.15625
0.001,128,FALSE,0.43464671820402145,0.826530612,0.28125
0.001,128,TRUE,0.43378791585564613,0.785714286,0.1875
0.0001,32,FALSE,0.4286428317427635,0.829081633,0.3125
0.0001,32,TRUE,0.430207722,0.778061224,0.1875
0.0001,64,FALSE,0.43001944199204445,0.826530612,0.28125
0.0001,64,TRUE,0.4298962578177452,0.7627551020408163,0.1875
0.0001,128,FALSE,0.4290958307683468,0.823979592,0.28125
0.0001,128,TRUE,0.42874283716082573,0.775510204,0.21875